

===============================================      Match : 73 ================================== 
125 , 409 , 1928 
221 , 157 , 1932 
220 , 317 , 1933 
309 , 158 , 1934 
307 , 311 , 1939 
386 , 217 , 1935 
481 , 220 , 1940 


===============================================      Match : 1275 ================================== 
Equipe 1 
47 , 225 , 1900 
138 , 120 , 1903 
139 , 245 , 1904 
135 , 363 , 1905 
227 , 118 , 1906 
227 , 235 , 1910 
223 , 354 , 1911 
318 , 156 , 1912 
316 , 318 , 1917 
412 , 226 , 1913 
487 , 220 , 1918 
Equipe 2 
51 , 225 , 2153 
144 , 104 , 2156 
143 , 196 , 2157 
147 , 289 , 2158 
147 , 386 , 2159 
246 , 98 , 2163 
252 , 192 , 2164 
247 , 290 , 2165 
250 , 387 , 2170 
347 , 224 , 2166 
462 , 230 , 2171 


===============================================      Match : 1276 ================================== 
Equipe 1 
42 , 225 , 2129 
124 , 118 , 2132 
117 , 235 , 2133 
122 , 347 , 2134 
218 , 122 , 2135 
222 , 245 , 2139 
219 , 363 , 2140 
315 , 224 , 2141 
407 , 156 , 2146 
406 , 309 , 2142 
491 , 232 , 2147 
Equipe 2 
42 , 225 , 1879 
103 , 151 , 1882 
103 , 296 , 1883 
184 , 153 , 1884 
186 , 313 , 1885 
246 , 155 , 1889 
243 , 306 , 1890 
323 , 221 , 1891 
385 , 225 , 1896 
468 , 222 , 1892 
540 , 232 , 1897 


===============================================      Match : 1277 ================================== 
Equipe 1 
48 , 225 , 1858 
103 , 222 , 1861 
186 , 221 , 1862 
254 , 117 , 1863 
253 , 233 , 1864 
253 , 349 , 1868 
315 , 164 , 1869 
322 , 319 , 1870 
391 , 223 , 1875 
464 , 227 , 1871 
525 , 225 , 1876 
Equipe 2 
42 , 225 , 2105 
114 , 160 , 2108 
117 , 309 , 2109 
203 , 120 , 2110 
198 , 238 , 2111 
203 , 354 , 2115 
275 , 158 , 2116 
276 , 304 , 2117 
355 , 223 , 2122 
438 , 221 , 2118 
524 , 227 , 2123 


===============================================      Match : 1278 ================================== 
Equipe 1 
49 , 225 , 2081 
112 , 124 , 2084 
107 , 243 , 2085 
109 , 357 , 2086 
192 , 219 , 2087 
276 , 227 , 2091 
352 , 114 , 2092 
346 , 235 , 2093 
349 , 351 , 2098 
443 , 224 , 2094 
523 , 227 , 2099 
Equipe 2 
51 , 225 , 1835 
116 , 157 , 1838 
124 , 307 , 1839 
199 , 153 , 1840 
207 , 307 , 1841 
263 , 120 , 1845 
262 , 228 , 1846 
268 , 345 , 1847 
352 , 222 , 1852 
426 , 224 , 1848 
520 , 230 , 1853 


===============================================      Match : 1279 ================================== 
Equipe 1 
48 , 225 , 1989 
113 , 222 , 1992 
186 , 155 , 1993 
186 , 299 , 1994 
254 , 218 , 1995 
320 , 153 , 1999 
321 , 304 , 2000 
391 , 232 , 2001 
462 , 155 , 2006 
459 , 305 , 2002 
521 , 229 , 2007 
Equipe 2 
45 , 225 , 2057 
119 , 154 , 2060 
125 , 308 , 2061 
199 , 227 , 2062 
282 , 153 , 2063 
277 , 295 , 2067 
354 , 220 , 2068 
429 , 112 , 2069 
433 , 229 , 2074 
437 , 336 , 2070 
524 , 219 , 2075 


===============================================      Match : 1280 ================================== 
Equipe 1 
48 , 225 , 2036 
109 , 155 , 2039 
107 , 298 , 2040 
177 , 232 , 2041 
242 , 227 , 2042 
325 , 120 , 2046 
326 , 234 , 2047 
324 , 350 , 2048 
391 , 222 , 2053 
466 , 219 , 2049 
523 , 221 , 2054 
Equipe 2 
45 , 225 , 2013 
148 , 156 , 2016 
152 , 296 , 2017 
249 , 123 , 2018 
250 , 240 , 2019 
258 , 355 , 2023 
348 , 107 , 2024 
348 , 206 , 2025 
351 , 304 , 2030 
352 , 401 , 2026 
451 , 228 , 2031 


===============================================      Match : 1513 ================================== 
Equipe 1 
43 , 225 , 2315 
